Time,Fx,Fy,Fz,F,Mx,My,Mz
[s],[N],[N],[N],[N],[Nm],[Nm],[Nm]
11.74,48.14,-123.03,13.96,132.84,0.17,-0.15,-0.6
11.748,48.56,-121.86,14.75,132,0.17,-0.13,-0.61
11.756,48.34,-121.05,14.06,131.1,0.17,-0.12,-0.6
11.765,48.38,-121.3,13.92,131.33,0.17,-0.12,-0.59
11.773,48.61,-122.29,14.99,132.45,0.18,-0.13,-0.58
11.781,48.1,-122.64,15.13,132.6,0.19,-0.13,-0.57
11.789,47.23,-121.72,14.11,131.32,0.2,-0.12,-0.56
11.797,46.61,-120.56,12.34,129.85,0.21,-0.1,-0.56
11.806,47.14,-120.64,12.06,130.09,0.22,-0.1,-0.55
11.814,47.8,-120.58,11.25,130.2,0.22,-0.1,-0.54
11.822,47.46,-119.13,10.08,128.63,0.23,-0.08,-0.54
11.83,47.13,-118.18,9.11,127.56,0.24,-0.07,-0.53
11.838,47.52,-118.31,9.69,127.87,0.25,-0.07,-0.52
11.847,48.75,-120.5,12.4,130.57,0.27,-0.09,-0.5
11.855,48.9,-120.44,12.46,130.59,0.28,-0.08,-0.49
11.863,49.05,-121.51,13.02,131.69,0.29,-0.09,-0.47
11.871,49.35,-121.63,13.2,131.92,0.3,-0.1,-0.46
11.879,48.63,-119.65,12.05,129.71,0.3,-0.07,-0.45
11.888,47.54,-117.9,10.28,127.54,0.3,-0.05,-0.45
11.896,47.29,-116.76,9.38,126.32,0.3,-0.03,-0.45
11.904,47.83,-117.08,9.88,126.86,0.31,-0.03,-0.44
11.912,48.26,-117.95,11.17,127.93,0.32,-0.04,-0.44
11.92,48.61,-117.19,11.47,127.39,0.32,-0.03,-0.44
11.929,48.58,-117.25,11.74,127.46,0.33,-0.03,-0.43
11.937,49.02,-117.68,12.61,128.1,0.33,-0.03,-0.43
11.945,49.52,-117.83,13.27,128.5,0.33,-0.03,-0.42
11.953,48.7,-117.46,12.28,127.74,0.33,-0.03,-0.41
11.961,48.4,-117.46,12.11,127.61,0.33,-0.03,-0.4
11.969,48.08,-117.5,11.72,127.5,0.33,-0.03,-0.39
11.978,48.14,-116.67,11.75,126.76,0.33,-0.03,-0.38
11.986,48.05,-116.41,11.6,126.47,0.33,-0.03,-0.37
11.994,48.1,-115.92,11.18,126,0.33,-0.03,-0.36
12.002,48.68,-116.29,11.59,126.6,0.33,-0.04,-0.35
12.01,49.17,-117.28,12.15,127.75,0.33,-0.05,-0.34
12.019,49.73,-117.47,12.81,128.2,0.33,-0.05,-0.33
12.027,49.63,-116.81,12.64,127.54,0.33,-0.04,-0.32
12.035,49.46,-115.4,12.05,126.13,0.32,-0.02,-0.32
12.043,49.35,-114.91,12.1,125.64,0.32,-0.01,-0.31
12.052,50.49,-115.87,13.2,127.08,0.32,-0.01,-0.3
12.06,50.31,-116.14,12.74,127.21,0.31,-0.01,-0.28
12.068,50.64,-117.49,13.36,128.64,0.31,-0.02,-0.26
12.076,51.6,-119.71,14.65,131.17,0.32,-0.04,-0.23
12.084,52.34,-120.58,15.42,132.35,0.31,-0.04,-0.22
12.092,52.86,-121.03,15.69,133,0.31,-0.05,-0.21
12.101,52.7,-120.72,15.49,132.63,0.31,-0.04,-0.2
12.109,51.48,-120.08,14.25,131.42,0.31,-0.04,-0.19
12.117,49.59,-117.83,11.59,128.36,0.31,-0.01,-0.19
12.125,48.54,-116.68,10.38,126.8,0.31,0,-0.19
12.133,48.37,-116.63,10.36,126.69,0.31,0,-0.18
12.142,46.81,-114.87,8.68,124.35,0.32,0.01,-0.17
12.15,45.94,-114.17,8.13,123.33,0.32,0.02,-0.17
12.158,45.87,-113.88,8.37,123.06,0.32,0.02,-0.17
12.166,45.73,-113.55,8.63,122.71,0.32,0.02,-0.17
12.174,45.04,-112.25,7.79,121.2,0.32,0.04,-0.17
12.183,44.86,-112.62,7.53,121.46,0.33,0.03,-0.17
12.191,46.05,-114.1,8.91,123.37,0.33,0.02,-0.17
12.199,47.65,-116.2,10.54,126.03,0.33,-0.01,-0.15
12.207,47.84,-116.33,10.88,126.25,0.34,-0.01,-0.15
12.215,47.6,-116.76,10.34,126.51,0.34,-0.01,-0.14
12.224,48.44,-117.8,11.21,127.86,0.34,-0.02,-0.13
12.232,49.39,-118.9,12.44,129.35,0.33,-0.03,-0.11
12.24,49.76,-119.73,12.83,130.29,0.33,-0.04,-0.1
12.248,50.15,-120.3,13.09,130.99,0.33,-0.04,-0.09
12.256,50.29,-120.13,13.13,130.89,0.32,-0.04,-0.08
12.265,49.34,-118.99,12.14,129.38,0.32,-0.03,-0.08
12.273,49.28,-119.16,12.04,129.51,0.31,-0.04,-0.07
12.281,49.18,-118.49,12,128.85,0.31,-0.04,-0.07
12.289,49.58,-118.29,12.43,128.86,0.3,-0.04,-0.07
12.297,49.97,-118.04,12.59,128.8,0.29,-0.04,-0.07
12.306,50.38,-117.38,12.89,128.38,0.28,-0.04,-0.06
12.314,49.42,-115.61,11.53,126.26,0.27,-0.02,-0.06
12.322,49.41,-114.87,11.72,125.59,0.26,-0.02,-0.06
12.33,48.67,-113.63,10.96,124.1,0.26,-0.02,-0.06
12.338,47.76,-112.52,10.35,122.68,0.25,-0.01,-0.05
12.347,48.07,-111.57,10.98,121.98,0.25,-0.01,-0.05
12.355,47.97,-111,11.47,121.46,0.25,-0.01,-0.04
12.363,47.68,-110.55,11.48,120.94,0.25,-0.01,-0.04
12.371,48.24,-110.85,12.93,121.58,0.25,-0.02,-0.03
12.379,48,-111.59,13.63,122.24,0.26,-0.03,-0.02
12.388,47.5,-112.61,14.07,123.03,0.26,-0.04,-0.01
12.396,47.4,-111.29,13.72,121.74,0.26,-0.03,-0.01
12.404,45.95,-110.05,11.32,119.79,0.26,-0.02,0
12.412,45.01,-108.25,9.29,117.6,0.27,0,0.01
12.42,44.58,-107.7,8.81,116.89,0.27,0,0.02
12.429,44.37,-107.93,8.75,117.03,0.28,0,0.03
12.437,45.27,-108.6,9.35,118.03,0.29,0,0.04
12.445,46.26,-109.66,10.76,119.51,0.29,-0.01,0.06
12.453,48.27,-110.44,12.75,121.2,0.3,-0.02,0.06
12.462,49.13,-111.33,13.7,122.45,0.3,-0.03,0.07
12.47,50,-110.84,14.86,122.49,0.3,-0.02,0.07
12.478,50.27,-111.89,15.39,123.62,0.3,-0.03,0.09
12.486,51.32,-112.87,16.5,125.08,0.3,-0.04,0.1
12.494,51.2,-112.79,16.28,124.93,0.31,-0.04,0.1
12.503,50.66,-111.1,15.64,123.1,0.31,-0.02,0.1
12.511,50.82,-110.52,15.55,122.63,0.31,-0.01,0.1
12.519,49.16,-108.73,13.37,120.07,0.32,0.01,0.1
12.527,48.58,-108.85,12.67,119.87,0.33,0.01,0.11
12.535,48.68,-109.3,12.76,120.33,0.34,0,0.12
12.544,48.76,-109.15,13.08,120.26,0.35,0.01,0.12
12.552,50.03,-109.49,14.34,121.23,0.35,0.01,0.12
12.56,49.95,-108.63,14.07,120.39,0.36,0.02,0.13
12.568,51.22,-109.51,15.08,121.83,0.36,0.01,0.14
12.576,50.98,-108.53,15.06,120.85,0.37,0.03,0.14
12.585,52.91,-109.19,17.14,122.54,0.37,0.02,0.14
12.593,53.35,-108.59,17.57,122.25,0.37,0.03,0.13
12.601,52.55,-107.1,16.48,120.43,0.37,0.05,0.13
12.609,51.04,-105.02,14.96,117.72,0.37,0.08,0.13
12.617,49.95,-103.1,13.91,115.4,0.36,0.1,0.13
12.626,51.03,-103.41,15.19,116.31,0.36,0.09,0.13
12.634,50.38,-102.35,14.61,115.01,0.36,0.11,0.13
12.642,50.61,-102.29,15.12,115.12,0.36,0.11,0.13
12.65,50.42,-102.06,14.92,114.8,0.35,0.11,0.14
12.659,50.37,-102.14,14.63,114.82,0.35,0.11,0.15
12.667,49.82,-102.11,14.18,114.5,0.36,0.11,0.15
12.675,49.28,-101.87,13.76,114,0.36,0.11,0.15
12.683,49.46,-103.21,14.16,115.32,0.36,0.09,0.16
12.691,48.77,-103.04,13.54,114.8,0.36,0.09,0.16
12.7,47.27,-101.99,11.92,113.04,0.36,0.1,0.15
12.708,46.64,-101.13,11.34,111.94,0.36,0.1,0.15
12.716,46.88,-101.6,11.35,112.47,0.36,0.09,0.15
12.724,46.91,-101.55,11.69,112.47,0.36,0.09,0.14
12.732,47.67,-102.9,12.69,114.12,0.36,0.07,0.13
12.741,49.22,-104.6,13.99,116.45,0.36,0.05,0.13
12.749,49.48,-105.08,14.01,116.99,0.36,0.05,0.13
12.757,48.34,-104.04,12.85,115.44,0.35,0.06,0.12
12.765,49.07,-105.12,13.79,116.83,0.35,0.05,0.11
12.773,48.71,-105.32,13.52,116.82,0.35,0.06,0.11
12.782,50.05,-107.26,14.8,119.28,0.35,0.04,0.11
12.79,49.51,-107.67,14.48,119.38,0.36,0.04,0.1
12.798,50.51,-109.42,15.66,121.53,0.36,0.02,0.09
12.806,49.68,-109.43,14.68,121.07,0.36,0.02,0.08
12.814,50.08,-109.81,14.95,121.61,0.37,0.02,0.06
12.823,49.55,-108.68,14.39,120.3,0.37,0.04,0.04
12.831,49.56,-108.64,14.08,120.24,0.37,0.04,0.03
12.839,51.4,-109.78,16.58,122.34,0.37,0.03,0.01
12.847,51.43,-108.94,17.27,121.7,0.38,0.04,0
12.855,50.47,-107.5,16.77,119.93,0.37,0.05,-0.02
12.864,48.92,-105.35,15.17,117.14,0.37,0.08,-0.03
12.872,47.61,-104,13.58,115.18,0.38,0.1,-0.04
12.88,46.24,-103.3,11.81,113.79,0.38,0.11,-0.05
12.888,45.85,-103.03,11.51,113.36,0.39,0.11,-0.06
12.897,44.55,-102.95,9.86,112.6,0.39,0.12,-0.05
12.905,43.45,-102.93,8.69,112.06,0.4,0.12,-0.05
12.913,43.97,-103.39,9.38,112.74,0.4,0.11,-0.05
12.921,44.9,-104.7,10.84,114.44,0.41,0.1,-0.04
12.929,44.99,-105.7,11.26,115.42,0.41,0.08,-0.03
12.938,45.89,-106.19,12.55,116.36,0.41,0.08,-0.03
12.946,46.24,-105.88,13.04,116.26,0.41,0.08,-0.03
12.954,45.66,-105.07,11.95,115.18,0.41,0.09,-0.03
12.962,46.28,-105.03,12.46,115.44,0.4,0.08,-0.03
12.97,46.05,-104.74,11.77,115.02,0.41,0.08,-0.02
12.979,45.81,-103.84,11.33,114.06,0.41,0.09,-0.03
12.987,46.28,-103.76,11.39,114.18,0.4,0.09,-0.02
12.995,45.68,-103.46,10.56,113.58,0.41,0.09,-0.02
13.003,44.41,-103.01,9.03,112.53,0.41,0.1,-0.01
13.011,44.6,-102.37,9.05,112.03,0.41,0.11,-0.01
13.02,44.22,-102.06,8.56,111.55,0.42,0.11,0
13.028,45.26,-102.4,10.09,112.41,0.42,0.1,-0.01
13.036,45.71,-102.92,10.08,113.07,0.42,0.09,0
13.044,45.65,-103.1,9.98,113.2,0.42,0.09,0
13.052,46.02,-103.54,10.44,113.78,0.42,0.09,-0.01
13.061,46.63,-104.34,11.54,114.87,0.42,0.08,-0.01
13.069,46.25,-104.36,11.09,114.69,0.42,0.08,-0.01
13.077,46.43,-104.13,11.11,114.55,0.42,0.07,-0.02
13.085,47.13,-104.56,12.67,115.39,0.42,0.07,-0.03
13.094,46.58,-104.37,13.16,115.04,0.43,0.07,-0.04
13.102,46.78,-104.84,13.66,115.61,0.43,0.07,-0.05
13.11,47.45,-105.49,14.2,116.54,0.43,0.06,-0.05
13.118,49.43,-107.08,16.1,119.03,0.44,0.04,-0.05
13.126,49.47,-107.73,15.93,119.61,0.44,0.04,-0.05
13.135,50.88,-109.9,17.71,122.4,0.46,0.01,-0.05
13.143,51.05,-110.54,18.23,123.12,0.46,0.01,-0.05
13.151,52.49,-112.54,19.65,125.73,0.47,-0.02,-0.04
13.159,52.56,-113.07,19.57,126.22,0.48,-0.02,-0.04
13.167,52.47,-112.84,19.15,125.91,0.48,-0.01,-0.05
13.176,51.37,-110.86,17.49,123.43,0.47,0.01,-0.07
13.184,50.06,-108.99,15.41,120.92,0.46,0.03,-0.08
13.192,50.25,-109.02,15.15,121,0.46,0.02,-0.09
13.2,48.62,-106.94,13.36,118.23,0.45,0.05,-0.11
13.209,48.36,-107.23,13.23,118.37,0.45,0.04,-0.12
13.217,49,-107.53,14.18,119.02,0.45,0.03,-0.12
13.225,49.41,-107.28,14.89,119.04,0.45,0.03,-0.13
13.233,48.75,-106.76,14.55,118.26,0.45,0.03,-0.15
13.241,49.04,-107.91,14.89,119.46,0.45,0,-0.15
13.25,47.73,-107.85,13.38,118.7,0.45,0,-0.16
13.258,47.16,-107.6,13.43,118.25,0.45,0,-0.18
13.266,47.62,-108.03,15.39,119.06,0.45,-0.01,-0.19
13.274,46.51,-108.22,14.76,118.71,0.45,-0.02,-0.2
13.282,47.02,-108.46,16.05,119.3,0.45,-0.02,-0.22
13.291,46.43,-107.66,15.81,118.31,0.44,-0.01,-0.24
13.299,46.53,-108.55,15.67,119.14,0.44,-0.02,-0.25
13.307,47.26,-109.6,16.81,120.53,0.43,-0.02,-0.26
13.315,46.25,-110.87,15.71,121.16,0.43,-0.02,-0.26
13.324,46.46,-113.01,15.73,123.2,0.42,-0.03,-0.26
13.332,47.82,-115.96,17.28,126.62,0.42,-0.04,-0.25
13.34,47.33,-118.39,16.2,128.52,0.41,-0.04,-0.24
13.348,48.14,-121.61,16.2,131.79,0.4,-0.05,-0.23
13.356,49.83,-125.48,16.19,135.99,0.39,-0.05,-0.22
13.364,51.71,-130.3,15.62,141.05,0.39,-0.05,-0.21
13.373,53.43,-135.7,15.12,146.62,0.38,-0.03,-0.2
13.381,54.1,-141.9,13.88,152.5,0.37,-0.01,-0.17
13.389,57.05,-151.26,14.64,162.32,0.38,0,-0.14
13.397,61.1,-162.64,16.36,174.51,0.39,0.01,-0.09
13.405,65.34,-175.29,17.69,187.91,0.42,0.04,-0.02
13.413,69.93,-189.7,18.58,203.03,0.47,0.08,0.05
13.421,76.26,-207.6,20.64,222.13,0.53,0.12,0.14
13.429,82.43,-226.56,22.36,242.12,0.62,0.18,0.24
13.437,88.85,-247.27,23.67,263.81,0.73,0.26,0.35
13.445,95.32,-269.86,25.7,287.35,0.86,0.35,0.45
13.453,103.69,-296.06,31.78,315.3,0.99,0.41,0.55
13.461,113.23,-322.77,38.12,344.18,1.1,0.47,0.63
13.469,122.92,-350.02,44.21,373.6,1.21,0.54,0.71
13.476,132.98,-377.65,49.89,403.48,1.3,0.6,0.8
13.484,143.25,-406.96,55.72,435.02,1.4,0.64,0.89
13.491,152.83,-435.23,60.83,465.27,1.49,0.69,0.98
13.499,163.61,-462.88,66.37,495.41,1.58,0.74,1.07
13.506,174.96,-489.12,72.49,524.5,1.66,0.79,1.15
13.514,184.96,-513.58,77.38,551.33,1.75,0.84,1.23
13.521,194.93,-536.44,81.57,576.56,1.83,0.9,1.32
13.528,205.23,-559.44,86.97,602.21,1.92,0.94,1.41
13.535,216.59,-579.71,93.15,625.83,1.99,1,1.48
13.542,226.22,-597.86,97.95,646.69,2.06,1.06,1.56
13.55,235.7,-615.57,102.71,667.11,2.12,1.11,1.65
13.557,245.87,-631.73,107.72,686.39,2.18,1.15,1.73
13.564,257.12,-646.61,113.01,704.97,2.22,1.19,1.82
13.571,269.61,-660.91,118.97,723.63,2.26,1.22,1.91
13.578,280.37,-673.42,123.78,739.88,2.3,1.26,2
13.585,289.76,-684.22,128.13,754.01,2.33,1.31,2.09
13.592,298.97,-693.86,131.54,766.89,2.36,1.35,2.18
13.599,307.67,-701.41,133.76,777.51,2.39,1.4,2.26
13.605,316.81,-709.05,136.71,788.55,2.41,1.43,2.34
13.612,326.44,-716.52,140.16,799.76,2.44,1.45,2.41
13.619,336.23,-722,143.38,809.25,2.47,1.49,2.48
13.626,344.17,-725.89,144.81,816.29,2.48,1.53,2.55
13.633,353.19,-730.26,148.95,824.74,2.5,1.54,2.62
13.64,361.01,-732.21,151.53,830.32,2.5,1.57,2.68
13.647,368.76,-734.17,154.57,835.99,2.51,1.58,2.75
13.654,375.03,-733.87,155.86,838.75,2.51,1.6,2.81
13.66,380.56,-731.46,155.9,839.15,2.51,1.64,2.86
13.667,386.65,-728.9,156.63,839.84,2.52,1.67,2.9
13.674,390.88,-724.88,155.91,838.18,2.53,1.72,2.93
13.681,396.23,-722.24,158.77,838.95,2.56,1.75,2.96
13.688,400.84,-718.63,162.02,838.66,2.58,1.78,2.97
13.695,403.93,-713.79,164.94,836.58,2.6,1.81,2.99
13.701,404.6,-708.36,167.24,832.73,2.61,1.83,3
13.708,403.1,-700.39,167.86,825.36,2.61,1.87,3
13.715,400.58,-692.75,168.76,817.83,2.6,1.89,3.01
13.722,397.33,-684.39,169.96,809.41,2.6,1.91,3
13.729,394.15,-677.5,172.42,802.55,2.6,1.92,3
13.736,389.56,-670.34,174.45,794.7,2.61,1.94,2.99
13.743,384.62,-664.92,176.52,788.17,2.62,1.94,3
13.75,379.55,-659.35,178.86,781.53,2.63,1.95,3
13.757,374.13,-653.32,181.21,774.36,2.63,1.97,3
13.764,369.02,-646.7,183.28,766.8,2.64,2,2.99
13.771,362.5,-641.04,184.47,759.19,2.64,2.02,2.99
13.778,356.92,-636.18,187.82,753.26,2.64,2.03,2.99
13.784,351.82,-631.16,191.29,747.48,2.63,2.02,3
13.791,346.5,-626.49,195.41,742.12,2.61,2,3.02
13.799,339.49,-620.71,197.85,734.63,2.57,1.98,3.04
13.805,332,-613.74,198.88,725.57,2.53,1.96,3.06
13.813,325.42,-606.67,200.39,717.01,2.48,1.94,3.08
13.82,319.37,-600.21,202.61,709.44,2.43,1.91,3.1
13.827,310.74,-593.31,202.68,699.75,2.36,1.89,3.13
13.834,301.8,-587.05,202.88,690.56,2.27,1.84,3.17
13.841,291.55,-578.55,201.88,678.58,2.15,1.78,3.2
13.848,281.6,-568.83,201.1,665.82,2.01,1.72,3.22
13.855,271.41,-558.09,199.68,651.92,1.86,1.64,3.21
13.862,260.37,-545.41,197.16,635.72,1.69,1.55,3.19
13.87,248.56,-530.13,192.8,616.43,1.52,1.47,3.14
13.877,237.4,-513.91,187.81,596.43,1.35,1.39,3.08
13.884,226.11,-496.7,181.45,575.12,1.18,1.32,3.01
13.892,215.69,-480.23,174.78,554.7,1.03,1.24,2.93
13.899,205.23,-463.29,167.5,533.67,0.89,1.16,2.84
13.906,194.97,-446.31,159.13,512.38,0.75,1.1,2.75
13.914,186.32,-430.83,152.88,493.66,0.63,1.02,2.65
13.921,177.59,-414.63,146.6,474.28,0.52,0.95,2.54
13.929,169.97,-399.58,141.37,456.67,0.42,0.89,2.42
13.937,161.95,-384.85,134.92,438.79,0.33,0.83,2.3
13.944,153.18,-369.85,127.39,420.1,0.25,0.78,2.16
13.952,145.56,-356.26,120.91,403.39,0.18,0.73,2
13.96,138.56,-344.15,114.98,388.41,0.12,0.68,1.83
13.967,133.77,-333.56,110.51,375.99,0.08,0.62,1.65
13.975,130.84,-324.02,106.68,365.36,0.05,0.58,1.45
13.983,128.07,-314.43,102.55,354.66,0.03,0.55,1.24
13.991,127.47,-308.04,100.35,348.15,0.02,0.51,1.05
13.998,127.78,-302.56,99.02,343.04,0.02,0.48,0.86
14.006,128.76,-298.04,98.1,339.16,0.02,0.44,0.69
14.014,130.2,-293.77,97.36,335.76,0.02,0.41,0.52
14.022,132.06,-290.66,97.33,333.76,0.02,0.37,0.36
14.03,135.97,-289.74,99.43,335.15,0.02,0.31,0.22
14.038,140.57,-289,101.98,337.16,0.01,0.26,0.1
14.045,146.06,-289.72,104.92,341,-0.01,0.19,-0.02
14.053,150.29,-289.98,105.53,343.24,-0.03,0.16,-0.12
14.061,155.39,-290.79,105.62,346.21,-0.06,0.12,-0.22
14.069,159.92,-293.45,105.13,350.35,-0.08,0.09,-0.3
14.077,166.62,-298.31,106.32,357.85,-0.1,0.06,-0.38
14.085,173.11,-303.78,106.99,365.64,-0.13,0.03,-0.45
14.093,179.6,-310.22,107.72,374.29,-0.16,0.01,-0.51
14.1,186.59,-318.05,110.22,384.86,-0.19,-0.02,-0.57
14.108,192.87,-325.12,112.24,394.34,-0.23,-0.04,-0.62
14.116,198.78,-334.01,115.03,405.35,-0.27,-0.08,-0.65
14.124,202.93,-341.84,116.41,414.23,-0.3,-0.1,-0.67
14.131,208.22,-350.98,119.89,425.34,-0.34,-0.14,-0.7
14.139,211.23,-358.13,121.08,433.06,-0.36,-0.15,-0.73
14.147,214.07,-364.52,121.2,439.76,-0.38,-0.16,-0.77
14.155,217.71,-370.06,121.65,446.25,-0.39,-0.15,-0.83
14.162,223.09,-376.9,123.12,454.95,-0.39,-0.16,-0.88
14.17,230.08,-383.91,126.15,465.01,-0.39,-0.17,-0.95
14.178,237.27,-392.21,129.57,476.35,-0.39,-0.2,-1.01
14.185,244.12,-400.77,132.92,487.72,-0.39,-0.23,-1.06
14.193,249.91,-408.25,136.1,497.64,-0.41,-0.27,-1.1
14.201,255.32,-414.53,139.27,506.38,-0.43,-0.31,-1.13
14.208,259.78,-419.29,143.38,513.66,-0.46,-0.36,-1.17
14.216,262.33,-423.46,145.96,519.07,-0.5,-0.41,-1.19
14.224,263.14,-425.98,146.56,521.71,-0.54,-0.46,-1.2
14.231,264.67,-428.78,148.08,525.2,-0.58,-0.52,-1.2
14.239,264.88,-430.35,148.3,526.65,-0.62,-0.56,-1.2
14.247,264.73,-430.51,147.47,526.47,-0.67,-0.58,-1.2
14.254,265.76,-432.77,148.66,529.17,-0.7,-0.62,-1.2
14.262,266.96,-434.81,149.25,531.61,-0.75,-0.66,-1.19
14.27,267.04,-435.18,148.58,531.76,-0.79,-0.68,-1.19
14.277,267.23,-436.37,148.03,532.67,-0.84,-0.72,-1.18
14.285,267.24,-436.43,148.31,532.81,-0.89,-0.75,-1.19
14.293,265.83,-435.53,146.01,530.73,-0.94,-0.79,-1.19
14.3,264.25,-434.27,144.03,528.36,-0.98,-0.82,-1.19
14.308,261.63,-431.99,141.46,524.48,-1.02,-0.84,-1.19
14.316,258.9,-428.97,139.37,520.07,-1.07,-0.85,-1.19
14.324,256.04,-426.12,137.28,515.73,-1.1,-0.87,-1.18
14.331,253.7,-423.27,136.08,511.9,-1.14,-0.9,-1.15
14.339,250.64,-421.39,134.37,508.37,-1.17,-0.93,-1.11
14.347,246.39,-418.63,130.52,502.98,-1.19,-0.94,-1.08
14.355,241.48,-415.94,126.2,497.24,-1.21,-0.95,-1.05
14.362,237.28,-414.92,122.34,493.38,-1.22,-0.96,-1.04
14.37,233.42,-413.28,120.2,489.62,-1.24,-0.95,-1.05
14.378,229.24,-410.54,117.99,484.78,-1.26,-0.95,-1.06
14.386,223.42,-406.53,115.11,477.95,-1.28,-0.95,-1.07
14.393,217.64,-402.62,113.19,471.47,-1.3,-0.96,-1.07
14.401,210.59,-397.23,110.69,463.02,-1.32,-0.96,-1.06
14.409,202.13,-389.41,106.44,451.47,-1.34,-0.94,-1.05
14.417,192.44,-380.07,101.62,437.96,-1.37,-0.91,-1.02
14.425,183.53,-371.93,98.22,426.22,-1.39,-0.9,-0.98
14.432,175.62,-364.42,95.97,415.75,-1.4,-0.9,-0.93
14.44,166.28,-355.71,92.36,403.38,-1.42,-0.89,-0.89
14.448,157.1,-347,88.18,390.98,-1.43,-0.89,-0.84
14.456,148.57,-338.3,85.1,379.16,-1.43,-0.89,-0.8
14.464,138.91,-327.12,79.8,364.24,-1.42,-0.87,-0.77
14.472,130.98,-316.07,76.42,350.56,-1.41,-0.86,-0.74
14.48,123.05,-303.65,72.06,335.46,-1.4,-0.84,-0.71
14.488,115.72,-291.41,67.99,320.83,-1.39,-0.81,-0.68
14.496,108.81,-280.28,64.11,307.42,-1.37,-0.79,-0.64
14.504,101.51,-269.82,59.64,294.38,-1.35,-0.76,-0.58
14.512,94.72,-260.17,55.19,282.32,-1.33,-0.72,-0.5
14.52,89.11,-250.93,50.7,271.06,-1.31,-0.67,-0.43
14.528,83.31,-242.67,45.42,260.56,-1.27,-0.62,-0.34
14.536,78.49,-234.84,40.62,250.92,-1.23,-0.55,-0.25
14.544,73.59,-227.14,34.97,241.31,-1.16,-0.49,-0.17
14.552,69.34,-220.83,29.96,233.39,-1.07,-0.43,-0.11
14.56,66.19,-216.57,26.08,227.96,-0.95,-0.38,-0.05
14.568,64.2,-213.3,24.46,224.09,-0.84,-0.33,-0.01
14.576,63.07,-211.83,25.57,222.49,-0.74,-0.29,0.01
14.584,62.28,-210.16,26.96,220.84,-0.67,-0.25,0.03
14.592,60.63,-208.68,27.03,218.99,-0.62,-0.22,0.05
14.6,59.63,-207.06,27.37,217.21,-0.6,-0.21,0.08
14.608,58.16,-206.52,27.35,216.29,-0.58,-0.21,0.11
14.616,55.88,-203.48,25.48,212.54,-0.57,-0.19,0.14
14.624,55,-201.63,25.26,210.52,-0.55,-0.19,0.17
14.632,53.42,-198.57,23.55,206.97,-0.53,-0.17,0.2
14.64,52.57,-195.88,22.4,204.04,-0.5,-0.16,0.23
14.649,51.18,-192.88,20.99,200.66,-0.45,-0.14,0.26
14.657,50.33,-189.7,19.9,197.27,-0.41,-0.13,0.28
14.665,48.48,-185.43,19.26,192.63,-0.37,-0.1,0.29
14.673,48.09,-181.83,20.68,189.21,-0.33,-0.08,0.29
14.681,46.39,-177.92,20.88,185.05,-0.3,-0.07,0.3
14.689,44.41,-174.94,20.85,181.69,-0.27,-0.07,0.3
14.697,42.08,-171.74,20.5,178.01,-0.26,-0.08,0.31
14.705,40.89,-169.93,21.51,176.1,-0.25,-0.1,0.31
14.713,41.32,-168.3,23.75,174.91,-0.27,-0.13,0.31
14.721,41.86,-167.98,26.71,175.17,-0.29,-0.16,0.31
14.729,41.2,-166.95,27.94,174.21,-0.32,-0.19,0.32
14.738,40.11,-163.4,28.12,170.59,-0.36,-0.18,0.32
14.746,39.2,-160.34,27.87,167.4,-0.39,-0.18,0.33
14.754,37.48,-156.23,25.65,162.7,-0.42,-0.17,0.34
14.762,35,-153.21,23.67,158.93,-0.44,-0.16,0.36
14.77,33.68,-150.3,22.43,155.65,-0.45,-0.15,0.38
14.778,32.44,-148,21.13,152.98,-0.45,-0.16,0.4
14.786,29.81,-143.44,18.3,147.64,-0.44,-0.14,0.4
14.795,28.96,-140.22,17.51,144.25,-0.43,-0.13,0.41
14.803,27.14,-136.43,16.24,140.05,-0.42,-0.12,0.41
14.811,25.46,-132.53,15.09,135.79,-0.42,-0.1,0.41
14.819,24.2,-129.06,15.12,132.18,-0.42,-0.09,0.4
14.827,22.75,-126.36,14.55,129.22,-0.43,-0.09,0.4
14.835,21.55,-124.1,15.13,126.86,-0.43,-0.1,0.39
14.844,20.69,-121.74,15.33,124.43,-0.43,-0.11,0.37
14.852,18.9,-119.73,14.89,122.12,-0.43,-0.11,0.36
14.86,17.35,-118.3,13.98,120.38,-0.43,-0.12,0.34
14.868,16.03,-117.06,13.11,118.88,-0.41,-0.12,0.32
14.876,15,-115.88,12.01,117.46,-0.4,-0.13,0.3
14.885,14.75,-115.19,11.32,116.68,-0.37,-0.14,0.28
14.893,14.64,-114.03,10.73,115.46,-0.35,-0.14,0.26
14.901,14.3,-112.91,9.92,114.24,-0.32,-0.14,0.24
14.909,14.33,-113.24,10.17,114.6,-0.28,-0.16,0.23
14.918,14.24,-112.75,9.71,114.06,-0.25,-0.17,0.22
14.926,14.67,-111.46,9.84,112.86,-0.22,-0.17,0.2
14.934,14.71,-110.15,10,111.58,-0.2,-0.18,0.18
14.942,14.06,-108.73,9.92,110.08,-0.17,-0.18,0.16
14.95,12.5,-106.71,9.55,107.86,-0.15,-0.17,0.14
14.959,12.16,-104.81,9.37,105.93,-0.13,-0.17,0.12
14.967,13.11,-103.22,10.7,104.6,-0.11,-0.17,0.1
14.975,13.9,-101.55,11.54,103.15,-0.1,-0.16,0.08
